#[nu, E, S1, S2, S3]
1.000000047500000048e-03 -5.113190412399999663e-02 -3.408833850799999898e-02 -3.408825424200000176e-02 -3.408731615300000101e-02
1.000000047500000048e-03 1.433333813799999960e-02 9.555686350299999812e-03 9.555684546000000473e-03 9.555664459700000460e-03
1.000000047500000048e-03 7.979879588999999607e-02 5.320068673000000192e-02 5.320035139700000221e-02 5.319661814800000221e-02
1.000000047500000048e-03 1.452641764500000043e-01 9.685365227799999643e-02 9.685117266399999314e-02 9.682356337700000204e-02
1.000000047500000048e-03 2.107295274700000109e-01 1.405379612300000081e-01 1.405261933799999974e-01 1.403949247500000108e-01
1.000000047500000048e-03 2.761921059099999853e-01 1.846038360199999950e-01 1.844964621500000124e-01 1.832839322900000067e-01
1.000000047500000048e-03 3.416483794699999854e-01 2.274754682700000086e-01 2.275421437800000113e-01 2.282791619500000035e-01
1.000000047500000048e-03 4.071136197499999887e-01 2.712118107900000075e-01 2.712575661700000196e-01 2.717578751699999962e-01
1.000000047500000048e-03 4.725789876300000025e-01 3.148757682600000218e-01 3.149162858099999740e-01 3.153659320800000221e-01
1.000000047500000048e-03 5.380443616300000231e-01 3.585192031700000226e-01 3.585597415199999749e-01 3.590097881100000055e-01
1.000000047500000048e-03 6.035097352199999543e-01 4.021582083199999880e-01 4.021997864499999853e-01 4.026614841699999725e-01
1.000000047500000048e-03 6.689751074199999925e-01 4.457914472999999767e-01 4.458353887500000057e-01 4.463233864600000267e-01
1.000000047500000048e-03 7.344404798000000456e-01 4.894254134200000106e-01 4.894715518300000179e-01 4.899840013399999750e-01
1.000000047500000048e-03 7.999058514800000408e-01 5.330573292300000432e-01 5.331061349400000315e-01 5.336482451899999813e-01
1.000000047500000048e-03 8.653712229800000211e-01 5.766888393100000343e-01 5.767404054700000504e-01 5.773132071000000032e-01
1.000000047500000048e-03 9.308365939899999608e-01 6.203191508900000040e-01 6.203737523100000262e-01 6.209802902800000135e-01
1.000000047500000048e-03 9.963019649400000066e-01 6.639493490000000220e-01 6.640070117199999844e-01 6.646475742899999872e-01
1.000000047500000048e-03 1.061767335799999934e+00 7.075794329100000279e-01 7.076401831499999906e-01 7.083150604000000294e-01
1.000000047500000048e-03 1.127232706700000087e+00 7.512094048599999851e-01 7.512732682999999634e-01 7.519827447000000387e-01
1.000000047500000048e-03 1.192698077299999992e+00 7.948388745300000169e-01 7.949060104199999754e-01 7.956512738800000095e-01
1.000000047500000048e-03 1.258163447899999898e+00 8.384684985000000479e-01 8.385387832499999750e-01 8.393196181600000028e-01
1.000000047500000048e-03 1.323628818400000018e+00 8.820977126200000296e-01 8.821712842900000240e-01 8.829886437699999702e-01
1.000000047500000048e-03 1.389094188999999924e+00 9.257270980899999779e-01 9.258039611099999622e-01 9.266573223999999831e-01
1.000000047500000048e-03 1.454559559500000043e+00 9.693565202999999686e-01 9.694365788600000089e-01 9.703260233799999579e-01
1.000000047500000048e-03 1.520024929899999933e+00 1.012985641400000025e+00 1.013069008200000010e+00 1.013995213699999898e+00
1.000000047500000048e-03 1.585490300300000044e+00 1.056614492100000025e+00 1.056701261700000005e+00 1.057664849900000092e+00
1.000000047500000048e-03 1.650955670599999925e+00 1.100243445999999903e+00 1.100333529600000082e+00 1.101334368599999891e+00
1.000000047500000048e-03 1.716421041000000036e+00 1.143872515600000028e+00 1.143965919200000014e+00 1.145003650100000048e+00
1.000000047500000048e-03 1.781886411399999925e+00 1.187501558499999943e+00 1.187598288300000027e+00 1.188672978700000105e+00
1.000000047500000048e-03 1.847351781600000020e+00 1.231130263400000091e+00 1.231230396900000024e+00 1.232342905599999927e+00
1.000000047500000048e-03 1.912817151899999901e+00 1.274759273299999940e+00 1.274862740499999925e+00 1.276012292699999939e+00
1.000000047500000048e-03 1.978282522200000004e+00 1.318387973399999913e+00 1.318494845300000051e+00 1.319682228200000029e+00
1.000000047500000048e-03 2.043747892499999885e+00 1.362016948700000007e+00 1.362127162299999972e+00 1.363351676499999998e+00
1.000000047500000048e-03 2.109213262699999980e+00 1.405645640599999968e+00 1.405759260800000021e+00 1.407021626399999947e+00
1.000000047500000048e-03 2.174678632900000075e+00 1.449274331700000085e+00 1.449391358700000021e+00 1.450691577600000004e+00
1.000000047500000048e-03 2.240144003200000178e+00 1.492903262500000050e+00 1.493023641399999990e+00 1.494361104800000062e+00
1.000000047500000048e-03 2.305609373399999829e+00 1.536531942299999898e+00 1.536655730499999928e+00 1.538031076200000014e+00
1.000000047500000048e-03 2.371074743599999923e+00 1.580160619699999991e+00 1.580287817899999947e+00 1.581701051700000082e+00
1.000000047500000048e-03 2.436540113800000018e+00 1.623789294400000083e+00 1.623919903200000014e+00 1.625371032099999891e+00
1.000000047500000048e-03 2.502005484000000113e+00 1.667417965999999918e+00 1.667551986000000097e+00 1.669041017999999932e+00
1.000000047500000048e-03 2.567470854200000208e+00 1.711046634199999916e+00 1.711184066299999973e+00 1.712711009900000025e+00
1.000000047500000048e-03 2.632936224399999858e+00 1.754675298700000052e+00 1.754816143700000053e+00 1.756381008199999982e+00
1.000000047500000048e-03 2.698401594599999953e+00 1.798303959400000096e+00 1.798448218100000107e+00 1.800051013500000074e+00
1.000000047500000048e-03 2.763866964700000040e+00 1.841932616000000023e+00 1.842080289399999904e+00 1.843721025800000080e+00
1.000000047500000048e-03 2.829332334900000134e+00 1.885561268500000054e+00 1.885712357600000111e+00 1.887391045500000031e+00
1.000000047500000048e-03 2.894797705099999785e+00 1.929189916599999943e+00 1.929344422300000028e+00 1.931061072899999953e+00
1.000000047500000048e-03 2.960263075299999880e+00 1.972818560399999921e+00 1.972976483799999903e+00 1.974731108000000068e+00
1.000000047500000048e-03 3.025728445399999966e+00 2.016447088500000095e+00 2.016608466800000166e+00 2.018401337099999804e+00
1.000000047500000048e-03 3.091193815500000053e+00 2.060075681599999875e+00 2.060240478299999900e+00 2.062071472700000019e+00
1.000000047500000048e-03 3.156659185700000148e+00 2.103704317400000079e+00 2.103872533600000150e+00 2.105741522000000199e+00
1.000000047500000048e-03 3.222124555899999798e+00 2.147332948399999886e+00 2.147504585200000093e+00 2.149411579600000177e+00
1.000000047500000048e-03 3.287589925999999885e+00 2.190961453099999900e+00 2.191136543799999892e+00 2.193081856500000093e+00
1.000000047500000048e-03 3.353055296099999971e+00 2.234590060499999975e+00 2.234768572800000186e+00 2.236751960299999897e+00
1.000000047500000048e-03 3.418520666300000066e+00 2.278218682599999934e+00 2.278400617500000003e+00 2.280422033999999876e+00
1.000000047500000048e-03 3.483986036400000152e+00 2.321847170799999915e+00 2.322032559200000179e+00 2.324092344099999874e+00
1.000000047500000048e-03 3.549451406599999803e+00 2.365475787199999846e+00 2.365664599300000059e+00 2.367762427899999800e+00
1.000000047500000048e-03 3.614916776699999890e+00 2.409104399699999899e+00 2.409296636600000152e+00 2.411432518499999844e+00
1.000000047500000048e-03 3.680382146799999976e+00 2.452732887999999889e+00 2.452928578199999876e+00 2.455102828699999851e+00
1.000000047500000048e-03 3.745847517000000071e+00 2.496361495499999972e+00 2.496560611600000090e+00 2.498772928100000179e+00
1.000000047500000048e-03 3.811312887100000157e+00 2.539989984400000012e+00 2.540192553699999856e+00 2.542443237300000103e+00
1.000000047500000048e-03 3.876778257199999800e+00 2.583618586600000100e+00 2.583824583100000183e+00 2.586113345899999860e+00
1.000000047500000048e-03 3.942243627299999886e+00 2.627247075800000164e+00 2.627456525299999957e+00 2.629783654600000187e+00
1.000000047500000048e-03 4.007708997499999981e+00 2.670875672799999823e+00 2.671088550599999945e+00 2.673453772699999842e+00
1.000000047500000048e-03 4.073174367500000059e+00 2.714504161899999879e+00 2.714720492900000171e+00 2.717124081400000168e+00
1.000000047500000048e-03 4.138639737700000154e+00 2.758132753499999978e+00 2.758352513999999811e+00 2.760794209000000166e+00
1.000000047500000048e-03 4.204105107800000241e+00 2.801761242400000018e+00 2.801984456100000020e+00 2.804464518200000089e+00
1.000000047500000048e-03 4.269570477900000327e+00 2.845389828500000107e+00 2.845616473000000202e+00 2.848134655399999993e+00
1.000000047500000048e-03 4.335035848000000414e+00 2.889018317000000113e+00 2.889248414699999934e+00 2.891804965399999983e+00
1.000000047500000048e-03 4.400501218099999612e+00 2.932646805700000137e+00 2.932880356600000127e+00 2.935475274999999939e+00
1.000000047500000048e-03 4.465966588299999707e+00 2.976275385400000140e+00 2.976512368699999911e+00 2.979145423399999881e+00
1.000000047500000048e-03 4.531431958399999793e+00 3.019903873400000105e+00 3.020144310000000054e+00 3.022815734199999937e+00
1.000000047500000048e-03 4.596897328499999880e+00 3.063532447700000105e+00 3.063776317799999926e+00 3.066485892399999802e+00
1.000000047500000048e-03 4.662362698599999966e+00 3.107160934799999996e+00 3.107408258500000020e+00 3.110156204799999990e+00
1.000000047500000048e-03 4.727828068700000053e+00 3.150789421999999895e+00 3.151040199200000114e+00 3.153826517000000162e+00
1.000000047500000048e-03 4.793293438800000139e+00 3.194417965299999995e+00 3.194672195999999964e+00 3.197496717299999958e+00
1.000000047500000048e-03 4.858758808900000226e+00 3.238046475900000054e+00 3.238304142000000052e+00 3.241167000799999975e+00
1.000000047500000048e-03 4.924224179000000312e+00 3.281674962099999870e+00 3.281936081900000080e+00 3.284837314899999861e+00
1.000000047500000048e-03 4.989689549100000399e+00 3.325303448200000123e+00 3.325568021700000099e+00 3.328507629100000198e+00
1.000000047500000048e-03 5.055154919199999597e+00 3.368932008199999828e+00 3.369200018599999957e+00 3.372177812399999919e+00
1.000000047500000048e-03 5.120620289299999683e+00 3.412560493099999981e+00 3.412831957499999902e+00 3.415848128799999994e+00
1.000000047500000048e-03 5.186085659399999770e+00 3.456188977800000117e+00 3.456463896299999838e+00 3.459518445500000094e+00
1.000000047500000048e-03 5.251551029499999856e+00 3.499817462299999793e+00 3.500095835000000211e+00 3.503188762500000220e+00
1.000000047500000048e-03 5.317016399599999943e+00 3.543446014700000202e+00 3.543727825900000017e+00 3.546858959400000177e+00
1.000000047500000048e-03 5.382481769700000029e+00 3.587074497800000206e+00 3.587359763499999854e+00 3.590529278800000057e+00
1.000000047500000048e-03 5.447947139800000116e+00 3.630702980800000201e+00 3.630991701000000127e+00 3.634199598599999970e+00
1.000000047500000048e-03 5.513412509900000202e+00 3.674331463500000172e+00 3.674623638299999939e+00 3.677869918799999915e+00
1.000000047500000048e-03 5.578877880000000289e+00 3.717959946000000127e+00 3.718255575300000171e+00 3.721540239399999894e+00
1.000000047500000048e-03 5.644343250100000375e+00 3.761588489299999782e+00 3.761887559399999859e+00 3.765210452199999835e+00
1.000000047500000048e-03 5.709808620199999574e+00 3.805216970300000057e+00 3.805519495299999999e+00 3.808880775500000038e+00
1.000000047500000048e-03 5.775273990299999660e+00 3.848845450999999862e+00 3.849151431000000123e+00 3.852551099299999837e+00
1.000000047500000048e-03 5.840739360399999747e+00 3.892473931300000078e+00 3.892783366399999778e+00 3.896221423700000130e+00
1.000000047500000048e-03 5.906204730499999833e+00 3.936102411399999834e+00 3.936415301599999861e+00 3.939891748500000013e+00
1.000000047500000048e-03 5.971670100599999920e+00 3.979730891100000001e+00 3.980047236599999927e+00 3.983562073999999953e+00
1.000000047500000048e-03 6.037135470599999998e+00 4.023359370499999699e+00 4.023679171300000412e+00 4.027232400099999943e+00
1.000000047500000048e-03 6.102600840800000093e+00 4.066987885699999694e+00 4.067311141800000307e+00 4.070902654600000226e+00
1.000000047500000048e-03 6.233500003799999689e+00 4.155666669200000385e+00 4.155666669200000385e+00 4.155666669200000385e+00
1.000000047500000048e-03 6.364397816500000360e+00 4.241458823000000322e+00 4.241795886900000312e+00 4.245540923600000127e+00
1.000000047500000048e-03 6.429863186599999558e+00 4.285087299299999763e+00 4.285427819199999711e+00 4.289211255199999684e+00
1.000000047500000048e-03 6.495328556699999645e+00 4.328715775100000052e+00 4.329059751099999964e+00 4.332881587600000195e+00
1.000000047500000048e-03 6.560793926799999731e+00 4.372344250500000307e+00 4.372691682800000201e+00 4.376551920699999876e+00
1.000000047500000048e-03 6.626259296799999809e+00 4.415972725499999640e+00 4.416323614100000405e+00 4.420222254499999615e+00
1.000000047500000048e-03 6.691724666899999896e+00 4.459601200099999829e+00 4.459955545099999696e+00 4.463892589100000308e+00
1.000000047500000048e-03 6.757190036999999982e+00 4.503229674299999985e+00 4.503587475799999851e+00 4.507562924400000171e+00
