#[nu, E, S1, S2, S3]
1.000000047500000048e-03 6.233500003799999689e+00 4.155666669200000385e+00 4.155666669200000385e+00 4.155666669200000385e+00
5.591006504099999691e-02 6.233500003799999689e+00 4.066043640800000247e+00 4.088824288899999715e+00 4.312132109700000271e+00
8.055600743400000152e-02 6.233500003799999689e+00 4.019720396900000381e+00 4.056425974899999787e+00 4.390853681400000319e+00
1.033675835400000020e-01 6.233500003799999689e+00 3.972149300099999891e+00 4.025052126500000327e+00 4.469798639400000440e+00
1.245391845700000027e-01 6.233500003799999689e+00 3.923107933299999850e+00 3.995055932000000087e+00 4.548836212500000364e+00
1.442246261300000054e-01 6.233500003799999689e+00 3.872260283200000153e+00 3.966934176500000131e+00 4.627805629000000032e+00
1.625265488000000036e-01 6.233500003799999689e+00 3.819056749200000045e+00 3.941482528799999940e+00 4.706460820900000286e+00
1.795156441100000111e-01 6.233500003799999689e+00 3.762927459900000215e+00 3.919619097800000063e+00 4.784453550700000335e+00
1.951639410500000116e-01 6.233500003799999689e+00 3.702922467300000076e+00 3.902962014399999902e+00 4.861115635500000032e+00
2.093778088000000093e-01 6.233500003799999689e+00 3.638118865600000085e+00 3.893538544100000109e+00 4.935342715400000024e+00
2.218940624899999881e-01 6.233500003799999689e+00 3.567694792500000212e+00 3.894080569999999852e+00 5.005224769799999862e+00
2.323660669900000086e-01 6.233500003799999689e+00 3.491769448399999920e+00 3.907109815200000114e+00 5.068120874699999945e+00
2.405603071000000093e-01 6.233500003799999689e+00 3.411996309400000094e+00 3.933081907200000060e+00 5.121921926499999778e+00
2.465539295299999933e-01 6.233500003799999689e+00 3.330592653900000144e+00 3.970301959800000002e+00 5.166105533199999655e+00
2.506536988199999927e-01 6.233500003799999689e+00 3.249211428300000204e+00 4.015934124600000210e+00 5.201854596899999628e+00
2.533217547900000199e-01 6.233500003799999689e+00 3.168550226699999861e+00 4.067070723099999618e+00 5.231379202200000300e+00
2.548873621100000153e-01 6.233500003799999689e+00 3.088722836700000141e+00 4.121798811499999715e+00 5.256478505399999612e+00
2.555736125799999980e-01 6.233500003799999689e+00 3.009647940399999833e+00 4.178946940600000381e+00 5.278405273999999814e+00
2.555725886199999852e-01 6.233500003799999689e+00 2.931145402299999869e+00 4.237640807400000043e+00 5.298213946399999763e+00
2.549733426699999916e-01 6.233500003799999689e+00 2.853071683300000050e+00 4.297370473500000010e+00 5.316558000099999681e+00
2.538782500499999761e-01 6.233500003799999689e+00 2.775286716000000098e+00 4.357746102900000196e+00 5.333967338799999958e+00
2.523308249799999792e-01 6.233500003799999689e+00 2.697687424799999789e+00 4.418513138799999851e+00 5.350799594599999764e+00
2.503680459100000033e-01 6.233500003799999689e+00 2.620201505099999828e+00 4.479505231900000162e+00 5.367293421800000353e+00
2.480397002199999923e-01 6.233500003799999689e+00 2.542734175200000113e+00 4.540518932500000382e+00 5.383747051700000341e+00
2.453374996400000119e-01 6.233500003799999689e+00 2.465282033199999834e+00 4.601543530999999909e+00 5.400174595600000238e+00
2.422911215699999898e-01 6.233500003799999689e+00 2.387756337899999970e+00 4.662389985899999978e+00 5.416853836299999614e+00
2.389132308799999937e-01 6.233500003799999689e+00 2.310162331099999911e+00 4.723065597599999776e+00 5.433772231899999916e+00
2.352098440300000037e-01 6.233500003799999689e+00 2.232456013999999822e+00 4.783469618599999862e+00 5.451074528300000388e+00
2.311855446699999928e-01 6.233500003799999689e+00 2.154613629500000016e+00 4.843540890699999935e+00 5.468845641199999719e+00
2.268445676499999952e-01 6.233500003799999689e+00 2.076642842900000119e+00 4.903286733999999925e+00 5.487070584899999659e+00
2.221908924500000104e-01 6.233500003799999689e+00 1.998507210499999909e+00 4.962610163499999949e+00 5.505882788100000091e+00
2.172232359200000074e-01 6.233500003799999689e+00 1.920207933499999964e+00 5.021497572900000428e+00 5.525294656199999821e+00
2.119311379699999887e-01 6.233500003799999689e+00 1.841749683900000045e+00 5.079941930000000383e+00 5.545308548999999587e+00
2.063397655800000008e-01 6.233500003799999689e+00 1.763107429099999957e+00 5.137861877299999769e+00 5.566030857000000331e+00
2.004155508300000110e-01 6.233500003799999689e+00 1.684296682300000070e+00 5.195270096999999865e+00 5.587433384699999728e+00
1.941815919800000123e-01 6.233500003799999689e+00 1.605302652200000013e+00 5.252102834899999628e+00 5.609594677499999626e+00
1.876299735699999971e-01 6.233500003799999689e+00 1.526136559400000037e+00 5.308361805799999722e+00 5.632501800000000003e+00
1.807540964200000100e-01 6.233500003799999689e+00 1.446795119299999932e+00 5.364003251499999791e+00 5.656201795000000310e+00
1.735547617300000067e-01 6.233500003799999689e+00 1.367284973799999914e+00 5.419012450200000330e+00 5.680702742500000291e+00
